slug,diagnostic_id,body,body_positive,category,factor,question_type,matrix,negative,active
TDA-Productivity-Rating-Decision Making-65,1,We have a strong record for making smart decisions as a team.,We have a strong record for making smart decisions as a team.,Productivity,Decision Making,Rating,65,false,true
TDA-Productivity-Rating-Resources-57,1,There is a “win/lose” mentality on the team where my gains become someone else’s losses.,There is not a “win/lose“ mentality on the team where my gains become someone else’s losses.,Productivity,Resources,Rating,57,true,true
TDA-Productivity-Rating-Alignment-49,1,"On our team, there is a collective ownership of results.","On our team, there is a collective ownership of results.",Productivity,Alignment,Rating,49,false,true
TDA-Positivity-Rating-Values Diversity-41,1,New or controversial ideas are discouraged.,New or controversial ideas are encouraged.,Positivity,Values Diversity,Rating,41,true,true
TDA-Positivity-Rating-Camaraderie-33,1,There is a strong sense of camaraderie and belonging on our team.,There is a strong sense of camaraderie and belonging on our team.,Positivity,Camaraderie,Rating,33,,true
TDA-Positivity-Rating-Constructive Interaction-25,1,Team members criticize others behind their backs.,Team members do not criticize others behind their backs.,Positivity,Constructive Interaction,Rating,25,true,true
TDA-Positivity-Rating-Communication-17,1,“Playing politics“ is used to get one’s way on our team.,“Playing politics“ is not used to get one’s way on our team.,Positivity,Communication,Rating,17,true,true
TDA-Positivity-Rating-Trust-9,1,We are not afraid to take risks with each other.,We are not afraid to take risks with each other.,Positivity,Trust,Rating,9,,true
TDA-Positivity-Rating-Optimism-1,1,There is tremendous enthusiasm and optimism on our team.,There is tremendous enthusiasm and optimism on our team.,Positivity,Optimism,Rating,1,,true
TDA-Productivity-Rating-Team Leadership-80,1,Our team leader inspires and supports us as needed.,Our team leader inspires and supports us as needed.,Productivity,Team Leadership,Rating,80,false,true
TDA-Productivity-Rating-Decision Making-66,1,We have an inefficient decision-making process.,We have an efficient decision-making process.,Productivity,Decision Making,Rating,66,true,true
TDA-Productivity-Rating-Resources-58,1,We have adequate resources to succeed.,We have adequate resources to succeed.,Productivity,Resources,Rating,58,,true
TDA-Productivity-Rating-Alignment-50,1,There is a sense of interdependence among team members. We can count on each other.,There is a sense of interdependence among team members. We can count on each other.,Productivity,Alignment,Rating,50,,true
TDA-Productivity-Rating-Goals & Strategies-42,1,Our team is highly resilient and not easily defeated in our goals.,Our team is highly resilient and not easily defeated in our goals.,Productivity,Goals & Strategies,Rating,42,,true
TDA-Positivity-Rating-Camaraderie-34,1,We are empathetic with each other.,We are empathetic with each other.,Positivity,Camaraderie,Rating,34,,true
TDA-Positivity-Rating-Constructive Interaction-26,1,We seem to be frequently frustrated with each other.,We are not frequently frustrated with each other.,Positivity,Constructive Interaction,Rating,26,true,true
TDA-Positivity-Rating-Communication-18,1,We communicate clearly and efficiently.,We communicate clearly and efficiently.,Positivity,Communication,Rating,18,,true
TDA-Positivity-Rating-Trust-10,1,We trust each other enough to reveal our vulnerabilities at the group level.,We trust each other enough to reveal our vulnerabilities at the group level.,Positivity,Trust,Rating,10,,true
TDA-Positivity-Rating-Optimism-2,1,We bring optimism to our work together.,We bring optimism to our work together.,Positivity,Optimism,Rating,2,,true
TDA-Productivity-Rating-Team Leadership-79,1,Our team has an appropriate balance between driving for results and maintaining good relationships among team members.,Our team has an appropriate balance between driving for results and maintaining good relationships among team members.,Productivity,Team Leadership,Rating,79,,true
TDA-Productivity-Rating-Decision Making-67,1,Our team seeks sufficient input in decision making.,Our team seeks sufficient input in decision making.,Productivity,Decision Making,Rating,67,,true
TDA-Productivity-Rating-Resources-59,1,"In spite of limited resources, we find ways to accomplish our objectives.","In spite of limited resources, we find ways to accomplish our objectives.",Productivity,Resources,Rating,59,,true
TDA-Productivity-Rating-Alignment-51,1,We are cohesive as a team and work well together.,We are cohesive as a team and work well together.,Productivity,Alignment,Rating,51,,true
TDA-Productivity-Rating-Goals & Strategies-43,1,We have set challenging goals/objectives for our team.,We have set challenging goals/objectives for our team.,Productivity,Goals & Strategies,Rating,43,false,true
TDA-Positivity-Rating-Camaraderie-35,1,We regularly acknowledge and celebrate our successes.,We regularly acknowledge and celebrate our successes.,Positivity,Camaraderie,Rating,35,,true
TDA-Positivity-Rating-Constructive Interaction-27,1,"On our team, people become defensive when mistakes are pointed out.","On our team, people do not become defensive when mistakes are pointed out.",Positivity,Constructive Interaction,Rating,27,true,true
TDA-Positivity-Rating-Communication-19,1,"On our team, we avoid speaking the truth when speaking up might create upset or hurt feelings.","On our team, we do not avoid speaking the truth even when speaking up might create upset or hurt feelings.",Positivity,Communication,Rating,19,true,true
TDA-Positivity-Rating-Trust-11,1,We have a shared commitment to open and honest communication.,We have a shared commitment to open and honest communication.,Positivity,Trust,Rating,11,,true
TDA-Positivity-Rating-Optimism-3,1,We have an inspiring shared organizational vision.,We have an inspiring shared organizational vision.,Positivity,Optimism,Rating,3,,true
TDA-Productivity-Rating-Team Leadership-78,1,Leadership is not empowered on our team.,Leadership is empowered on our team.,Productivity,Team Leadership,Rating,78,true,true
TDA-Productivity-Rating-Decision Making-68,1,We revisit bad decisions to explore alternatives.,We revisit bad decisions to explore alternatives.,Productivity,Decision Making,Rating,68,,true
TDA-Productivity-Rating-Resources-60,1,Protecting one’s job and work territory is prevalent on the team.,Protecting one’s job and work territory is not prevalent on the team.,Productivity,Resources,Rating,60,true,true
TDA-Productivity-Rating-Alignment-52,1,"When the going gets tough, we tend to come together as a team.","When the going gets tough, we tend to come together as a team.",Productivity,Alignment,Rating,52,,true
TDA-Productivity-Rating-Goals & Strategies-44,1,Our goals are unclear.,Our goals are clear.,Productivity,Goals & Strategies,Rating,44,true,true
TDA-Positivity-Rating-Camaraderie-36,1,Playfulness and humor are absent in our relationships.,Playfulness and humor are present in our relationships.,Positivity,Camaraderie,Rating,36,true,true
TDA-Positivity-Rating-Constructive Interaction-28,1,We promptly and directly address conflicts.,We promptly and directly address conflicts.,Positivity,Constructive Interaction,Rating,28,,true
TDA-Positivity-Rating-Communication-20,1,Members often withdraw from communication or respond emotionally when problems arise.,Members do not withdraw from communication or respond emotionally when problems arise.,Positivity,Communication,Rating,20,true,true
TDA-Positivity-Rating-Respect-12,1,We have positive regard for each other.,We have positive regard for each other.,Positivity,Respect,Rating,12,false,true
TDA-Positivity-Rating-Optimism-4,1,We tend to dwell on our team’s past difficulties.,We do not tend to dwell on our team’s past difficulties.,Positivity,Optimism,Rating,4,true,true
TDA-Productivity-Rating-Team Leadership-77,1,Our team leader exercises a broad range of appropriate leadership styles depending on the situation.,Our team leader exercises a broad range of appropriate leadership styles depending on the situation.,Productivity,Team Leadership,Rating,77,false,true
TDA-Productivity-Rating-Decision Making-69,1,We tailor our decision-making process to the situation.,We tailor our decision-making process to the situation.,Productivity,Decision Making,Rating,69,false,true
TDA-Productivity-Rating-Resources-61,1,We have not had adequate training to be as effective as we need to be.,We have had adequate training to be as effective as we need to be.,Productivity,Resources,Rating,61,true,true
TDA-Productivity-Rating-Accountability-53,1,There is ongoing confusion over roles and responsibilities.,There is not ongoing confusion over roles and responsibilities.,Productivity,Accountability,Rating,53,true,true
TDA-Productivity-Rating-Goals & Strategies-45,1,"As a team, we have developed sound strategies for accomplishing our goals.","As a team, we have developed sound strategies for accomplishing our goals.",Productivity,Goals & Strategies,Rating,45,false,true
TDA-Positivity-Rating-Camaraderie-37,1,I enjoy working with the members of this team.,I enjoy working with the members of this team.,Positivity,Camaraderie,Rating,37,,true
TDA-Positivity-Rating-Constructive Interaction-29,1,We appreciate and invite feedback on our work styles and performance.,We appreciate and invite feedback on our work styles and performance.,Positivity,Constructive Interaction,Rating,29,,true
TDA-Positivity-Rating-Constructive Interaction-21,1,Our team knows how to work through conflict constructively.,Our team knows how to work through conflict constructively.,Positivity,Constructive Interaction,Rating,21,,true
TDA-Positivity-Rating-Respect-13,1,We have mutual respect for each other.,We have mutual respect for each other.,Positivity,Respect,Rating,13,,true
TDA-Positivity-Rating-Optimism-5,1,Cynicism is prevalent on our team.,Cynicism is not prevalent on our team.,Positivity,Optimism,Rating,5,true,true
TDA-Productivity-Rating-Proactive-76,1,Creativity is one of our strengths as a team.,Creativity is one of our strengths as a team.,Productivity,Proactive,Rating,76,,true
TDA-Productivity-Rating-Proactive-70,1,We are resistant to change and prefer to maintain the status quo.,We welcome change and do not prefer to maintain the status quo.,Productivity,Proactive,Rating,70,true,true
TDA-Productivity-Rating-Resources-62,1,We are highly diverse in our individual skills and work styles.,We are highly diverse in our individual skills and work styles.,Productivity,Resources,Rating,62,,true
TDA-Productivity-Rating-Accountability-54,1,"On our team, people tend to say, “It’s not my job,“ when problems arise.","On our team, people do not tend to say, “It’s not my job,“ when problems arise.",Productivity,Accountability,Rating,54,true,true
TDA-Productivity-Rating-Goals & Strategies-46,1,"Recognition, rewards and compensation are linked to performance on our team.","Recognition, rewards and compensation are linked to performance on our team.",Productivity,Goals & Strategies,Rating,46,,true
TDA-Positivity-Rating-Values Diversity-38,1,"We truly value diversity in thought, personality and lifestyle on our team.","We truly value diversity in thought, personality and lifestyle on our team.",Positivity,Values Diversity,Rating,38,false,true
TDA-Positivity-Rating-Constructive Interaction-30,1,Even in heated debates we respectfully listen to each other.,Even in heated debates we respectfully listen to each other.,Positivity,Constructive Interaction,Rating,30,,true
TDA-Positivity-Rating-Constructive Interaction-22,1,We criticize and blame each other.,We do not criticize and blame each other.,Positivity,Constructive Interaction,Rating,22,true,true
TDA-Positivity-Rating-Respect-14,1,All members of our team are equally valued.,All members of our team are equally valued.,Positivity,Respect,Rating,14,,true
TDA-Positivity-Rating-Optimism-6,1,There is an underlying sense of helplessness and hopelessness on our team.,There is not an underlying sense of helplessness and hopelessness on our team.,Positivity,Optimism,Rating,6,true,true
TDA-Productivity-Rating-Proactive-75,1,Our team lacks the flexibility to respond to change.,Our team has the flexibility to respond to change.,Productivity,Proactive,Rating,75,true,true
TDA-Productivity-Rating-Proactive-71,1,We seek and support improvements in our processes.,We seek and support improvements in our processes.,Productivity,Proactive,Rating,71,,true
TDA-Productivity-Rating-Resources-63,1,Exhaustion is an issue on our team.,Exhaustion is not an issue on our team.,Productivity,Resources,Rating,63,true,true
TDA-Productivity-Rating-Accountability-55,1,There is a high level of accountability and follow through on our team.,There is a high level of accountability and follow through on our team.,Productivity,Accountability,Rating,55,,true
TDA-Productivity-Rating-Goals & Strategies-47,1,We are aligned on our priorities and strategies.,We are aligned on our priorities and strategies.,Productivity,Goals & Strategies,Rating,47,,true
TDA-Positivity-Rating-Values Diversity-39,1,Curiosity is valued on our team.,Curiosity is valued on our team.,Positivity,Values Diversity,Rating,39,,true
TDA-Positivity-Rating-Constructive Interaction-31,1,We avoid conflict at all costs.,We do not avoid conflict.,Positivity,Constructive Interaction,Rating,31,true,true
TDA-Positivity-Rating-Constructive Interaction-23,1,We have team agreements regarding how we interact when conflict arises.,We have team agreements regarding how we interact when conflict arises.,Positivity,Constructive Interaction,Rating,23,,true
TDA-Positivity-Rating-Respect-15,1,Members of our team speak with contempt about other team members.,We do not speak with contempt about other team members.,Positivity,Respect,Rating,15,true,true
TDA-Positivity-Rating-Optimism-7,1,There is an attitude of gratitude and appreciation in our team environment.,There is an attitude of gratitude and appreciation in our team environment.,Positivity,Optimism,Rating,7,,true
TDA-Productivity-Rating-Proactive-74,1,Our team addresses problems in a timely manner.,Our team addresses problems in a timely manner.,Productivity,Proactive,Rating,74,,true
TDA-Productivity-Rating-Proactive-72,1,We are positive role models for the whole organization when it comes to embracing change.,We are positive role models for the whole organization when it comes to embracing change.,Productivity,Proactive,Rating,72,false,true
TDA-Productivity-Rating-Resources-64,1,Symptoms of burnout are present on our team.,Symptoms of burnout are not present on our team.,Productivity,Resources,Rating,64,true,true
TDA-Productivity-Rating-Accountability-56,1,We often make excuses when the job doesn’t get done.,We do not make excuses when the job doesn’t get done.,Productivity,Accountability,Rating,56,true,true
TDA-Productivity-Rating-Alignment-48,1,There is a spirit of cooperation on our team.,There is a spirit of cooperation on our team.,Productivity,Alignment,Rating,48,,true
TDA-Positivity-Rating-Values Diversity-40,1,"We draw out all opinions on our team, even the unpopular opinions.","We draw out all opinions on our team, even the unpopular opinions.",Positivity,Values Diversity,Rating,40,,true
TDA-Positivity-Rating-Constructive Interaction-32,1,"Even though conflict can be highly annoying, we recognize it helps our team grow.","Even though conflict can be highly annoying, we recognize it helps our team grow.",Positivity,Constructive Interaction,Rating,32,,true
TDA-Positivity-Rating-Constructive Interaction-24,1,We regularly provide each other with constructive feedback.,We regularly provide each other with constructive feedback.,Positivity,Constructive Interaction,Rating,24,,true
TDA-Positivity-Rating-Communication-16,1,We engage in gossip about our teammates.,We do not engage in gossip about our teammates.,Positivity,Communication,Rating,16,true,true
TDA-Positivity-Rating-Trust-8,1,We operate in a fear-based environment.,We do not operate in a fear-based environment.,Positivity,Trust,Rating,8,true,true
TDA-Productivity-Rating-Proactive-73,1,Our team is nimble and flexible in responding to problems as they arise.,Our team is nimble and flexible in responding to problems as they arise.,Productivity,Proactive,Rating,73,false,true
TLV-Productivity-Rating-Decision Making-65,2,This team has a strong record for making smart decisions as a team.,This team has a strong record for making smart decisions as a team.,Productivity,Decision Making,Rating,65,false,true
TLV-Productivity-Rating-Resources-57,2,There appears to be a “win/lose” mentality on this team where one person’s gains become another person’s losses.,There does not appear to be a “win/lose” mentality on this team where one person’s gains become another person’s losses.,Productivity,Resources,Rating,57,true,true
TLV-Productivity-Rating-Alignment-49,2,"On this team, there is collective ownership of results.","On this team, there is collective ownership of results.",Productivity,Alignment,Rating,49,false,true
TLV-Positivity-Rating-Values Diversity-41,2,New and/or controversial ideas are discouraged by this team.,New and/or controversial ideas are encouraged on this team.,Positivity,Values Diversity,Rating,41,true,true
TLV-Positivity-Rating-Camaraderie-33,2,There is a strong sense of camaraderie and belonging on this team.,There is a strong sense of camaraderie and belonging on this team.,Positivity,Camaraderie,Rating,33,false,true
TLV-Positivity-Rating-Constructive Interaction-25,2,"On this team, team members criticize others behind their backs.","On this team, team members do not criticize others behind their backs.",Positivity,Constructive Interaction,Rating,25,true,true
TLV-Positivity-Rating-Communication-17,2,“Playing politics” is a tactic used by team members to get their way.,“Playing politics” is not a tactic used by team members to get their way.,Positivity,Communication,Rating,17,true,true
TLV-Positivity-Rating-Trust-9,2,Team members are not afraid to take risks with each other.,Team members are not afraid to take risks with each other.,Positivity,Trust,Rating,9,false,true
TLV-Positivity-Rating-Optimism-1,2,There appears to be tremendous enthusiasm and optimism on this team.,There appears to be tremendous enthusiasm and optimism on this team.,Positivity,Optimism,Rating,1,false,true
TLV-Productivity-Rating-Team Leadership-80,2,The team leader inspires and supports this team as needed.,The team leader inspires and supports this team as needed.,Productivity,Team Leadership,Rating,80,false,true
TLV-Productivity-Rating-Decision Making-66,2,This team has an inefficient decision making process.,This team does not have an inefficient decision making process.,Productivity,Decision Making,Rating,66,true,true
TLV-Productivity-Rating-Resources-58,2,This team has adequate resources to succeed.,This team has adequate resources to succeed.,Productivity,Resources,Rating,58,false,true
TLV-Productivity-Rating-Alignment-50,2,There is interdependence among team members on this team; they can count on each other.,There is interdependence among team members on this team; they can count on each other.,Productivity,Alignment,Rating,50,false,true
TLV-Productivity-Rating-Goals & Strategies-42,2,This team is highly resilient and not easily defeated in their goals.,This team is highly resilient and not easily defeated in their goals.,Productivity,Goals & Strategies,Rating,42,false,true
TLV-Positivity-Rating-Camaraderie-34,2,Team members are empathetic with each other.,Team members are empathetic with each other.,Positivity,Camaraderie,Rating,34,false,true
TLV-Positivity-Rating-Constructive Interaction-26,2,Team members seem to be frequently frustrated with each other.,Team members are rarely frustrated with each other.,Positivity,Constructive Interaction,Rating,26,true,true
TLV-Positivity-Rating-Communication-18,2,This team communicates clearly and efficiently.,This team communicates clearly and efficiently.,Positivity,Communication,Rating,18,false,true
TLV-Positivity-Rating-Trust-10,2,"On this team, team members trust each other enough to reveal vulnerabilities at the group level.","On this team, team members trust each other enough to reveal vulnerabilities at the group level.",Positivity,Trust,Rating,10,false,true
TLV-Positivity-Rating-Optimism-2,2,A spirit of optimism lives on this team.,A spirit of optimism lives on this team.,Positivity,Optimism,Rating,2,false,true
TLV-Productivity-Rating-Team Leadership-79,2,This team has an appropriate leadership balance between driving for results and maintaining good relationships among team members.,This team has an appropriate leadership balance between driving for results and maintaining good relationships among team members.,Productivity,Team Leadership,Rating,79,false,true
TLV-Productivity-Rating-Decision Making-67,2,This team seeks sufficient input in decision making.,This team seeks sufficient input in decision making.,Productivity,Decision Making,Rating,67,false,true
TLV-Productivity-Rating-Resources-59,2,"In spite of limited resources, this team finds ways to accomplish their objectives.","In spite of limited resources, this team finds ways to accomplish their objectives.",Productivity,Resources,Rating,59,false,true
TLV-Productivity-Rating-Alignment-51,2,This team is cohesive and works well together.,This team is cohesive and works well together.,Productivity,Alignment,Rating,51,false,true
TLV-Productivity-Rating-Goals & Strategies-43,2,The team has established challenging goals and objectives.,The team has established challenging goals and objectives.,Productivity,Goals & Strategies,Rating,43,false,true
TLV-Positivity-Rating-Camaraderie-35,2,The team regularly acknowledges and celebrates their successes.,The team regularly acknowledges and celebrates their successes.,Positivity,Camaraderie,Rating,35,false,true
TLV-Positivity-Rating-Constructive Interaction-27,2,The team has members who become defensive when mistakes are pointed out.,The team does not have members who become defensive when mistakes are pointed out.,Positivity,Constructive Interaction,Rating,27,true,true
TLV-Positivity-Rating-Communication-19,2,The team tends to avoid speaking the truth when speaking up might create upset or hurt feelings.,The team does not avoid speaking the truth even when speaking up might create upset or hurt feelings.,Positivity,Communication,Rating,19,true,true
TLV-Positivity-Rating-Trust-11,2,This team has a shared commitment to open and honest communication.,This team has a shared commitment to open and honest communication.,Positivity,Trust,Rating,11,false,true
TLV-Positivity-Rating-Optimism-3,2,"The team has an inspiring, shared, organizational vision.","The team has an inspiring, shared, organizational vision.",Positivity,Optimism,Rating,3,false,true
TLV-Productivity-Rating-Team Leadership-78,2,Leadership is not empowered on the team.,Leadership is empowered on this team.,Productivity,Team Leadership,Rating,78,true,true
TLV-Productivity-Rating-Decision Making-68,2,The team revisits bad decisions to explore alternatives.,The team revisits bad decisions to explore alternatives.,Productivity,Decision Making,Rating,68,false,true
TLV-Productivity-Rating-Resources-60,2,Protecting one’s job and work territory is prevalent on the team.,Protecting one’s job and work territory is not prevalent on the team.,Productivity,Resources,Rating,60,true,true
TLV-Productivity-Rating-Alignment-52,2,When the going gets tough this team tends to come together.,When the going gets tough this team tends to come together.,Productivity,Alignment,Rating,52,false,true
TLV-Productivity-Rating-Goals & Strategies-44,2,Team goals are unclear.,Team goals are clear.,Productivity,Goals & Strategies,Rating,44,true,true
TLV-Positivity-Rating-Camaraderie-36,2,Playfulness and humor are absent in team member relationships.,Playfulness and humor are present in team member relationships.,Positivity,Camaraderie,Rating,36,true,true
TLV-Positivity-Rating-Constructive Interaction-28,2,The team promptly and directly addresses conflict.,The team promptly and directly addresses conflict.,Positivity,Constructive Interaction,Rating,28,false,true
TLV-Positivity-Rating-Communication-20,2,Team members often withdraw from communication or respond emotionally when problems arise.,Team members do not withdraw from communication or respond emotionally when problems arise.,Positivity,Communication,Rating,20,true,true
TLV-Positivity-Rating-Respect-12,2,Team members have positive regard for each other.,Team members have positive regard for each other.,Positivity,Respect,Rating,12,false,true
TLV-Positivity-Rating-Optimism-4,2,The team tends to dwell on past difficulties.,The team does not tend to dwell on past difficulties.,Positivity,Optimism,Rating,4,true,true
TLV-Productivity-Rating-Team Leadership-77,2,The team experiences a leader who exercises a broad range of appropriate leadership styles depending on the situation.,The team experiences a leader who exercises a broad range of appropriate leadership styles depending on the situation.,Productivity,Team Leadership,Rating,77,false,true
TLV-Productivity-Rating-Decision Making-69,2,The team tailors their decision-making process to the situation.,The team tailors their decision-making process to the situation.,Productivity,Decision Making,Rating,69,false,true
TLV-Productivity-Rating-Resources-61,2,The team has not had adequate training to be as effective as it needs to be.,The team has had adequate training to be as effective as it needs to be.,Productivity,Resources,Rating,61,true,true
TLV-Productivity-Rating-Accountability-53,2,This team has ongoing confusion over roles and responsibilities.,This team does not have ongoing confusion over roles and responsibilities.,Productivity,Accountability,Rating,53,true,true
TLV-Productivity-Rating-Goals & Strategies-45,2,This team has developed sound strategies for accomplishing its goals.,This team has developed sound strategies for accomplishing its goals.,Productivity,Goals & Strategies,Rating,45,false,true
TLV-Positivity-Rating-Camaraderie-37,2,Team members enjoy working with each other.,Team members enjoy working with each other.,Positivity,Camaraderie,Rating,37,false,true
TLV-Positivity-Rating-Constructive Interaction-29,2,Team members value feedback and invite feedback on their work styles and performance.,Team members value feedback and invite feedback on their work styles and performance.,Positivity,Constructive Interaction,Rating,29,false,true
TLV-Positivity-Rating-Constructive Interaction-21,2,This team knows how to work through conflict constructively.,This team knows how to work through conflict constructively.,Positivity,Constructive Interaction,Rating,21,false,true
TLV-Positivity-Rating-Respect-13,2,Team members have mutual respect for each other.,Team members have mutual respect for each other.,Positivity,Respect,Rating,13,false,true
TLV-Positivity-Rating-Optimism-5,2,Cynicism is prevalent on this team.,Cynicism is not prevalent on this team.,Positivity,Optimism,Rating,5,true,true
TLV-Productivity-Rating-Proactive-76,2,Creativity is a strength on this team.,Creativity is a strength on this team.,Productivity,Proactive,Rating,76,false,true
TLV-Productivity-Rating-Proactive-70,2,The team is resistant to change and prefers to maintain the status quo.,The team is open to change and does not prefer to maintain the status quo.,Productivity,Proactive,Rating,70,true,true
TLV-Productivity-Rating-Resources-62,2,Team members are highly diverse in their individual skills and work styles.,Team members are highly diverse in their individual skills and work styles.,Productivity,Resources,Rating,62,false,true
TLV-Productivity-Rating-Accountability-54,2,"On this team, people tend to say “It’s not my job,” when problems arise.","On this team, people do not tend to say “It’s not my job,” when problems arise.",Productivity,Accountability,Rating,54,true,true
TLV-Productivity-Rating-Goals & Strategies-46,2,"Recognition, rewards and compensation are linked to performance on this team.","Recognition, rewards and compensation are linked to performance on this team.",Productivity,Goals & Strategies,Rating,46,false,true
TLV-Positivity-Rating-Values Diversity-38,2,"The team truly values diversity in thought, personality and lifestyle.","The team truly values diversity in thought, personality and lifestyle.",Positivity,Values Diversity,Rating,38,false,true
TLV-Positivity-Rating-Constructive Interaction-30,2,Even in heated debates team members respectfully listen to each other.,Even in heated debates team members respectfully listen to each other.,Positivity,Constructive Interaction,Rating,30,false,true
